,url,header,header_len,meta,meta_len,bytes,word_count,inlinks,unique_in,outlinks,unique_out,ext_links,unique_ext,pa,pub_date
0,https://www.mayoclinic.org/diseases-conditions/digeorge-syndrome/symptoms-causes/syc-20353543,digeorge syndrome (22q11.2 deletion syndrome),45,"DiGeorge syndrome (22q11.2 deletion syndrome) is a disorder caused by a defect in chromosome 22, resulting in poor development of several body systems.",151,57561,2212,13,7,70,44,67,45,0.0,2017-07-18
1,https://www.mayoclinic.org/diseases-conditions/atrial-fibrillation/symptoms-causes/syc-20350624,atrial fibrillation,19,"Find out about atrial fibrillation, a heart condition that causes your heart to beat rapidly. Know the symptoms and risk factors and how to get treated.",152,68770,2732,31,19,100,71,75,52,1.0,2019-06-20
2,https://www.mayoclinic.org/diseases-conditions/abdominal-aortic-aneurysm/symptoms-causes/syc-20350688,abdominal aortic aneurysm,25,An abdominal aortic aneurysm can grow slowly and silently. Know the symptoms of this dangerous condition and how it is treated. ,128,48752,1530,26,15,78,49,67,45,0.0,2019-03-15
3,https://www.mayoclinic.org/diseases-conditions/hyperhidrosis/symptoms-causes/syc-20367152,hyperhidrosis,13,"Learn more about causes, symptoms, treatment and self-care tips for this embarrassing condition that causes heavy sweating unrelated to heat or exercise.",153,45026,1385,16,11,75,46,67,45,0.0,2017-10-27
4,https://www.mayoclinic.org/diseases-conditions/bartholin-cyst/symptoms-causes/syc-20369976,bartholin's cyst,16,"A Bartholin's cyst is a fluid-filled lump near the vaginal opening. It's rarely serious, but when infected, it can be painful.",126,43037,1202,12,6,70,44,67,45,0.0,2020-04-24
5,https://www.mayoclinic.org/diseases-conditions/petit-mal-seizure/symptoms-causes/syc-20359683,absence seizure,15,"This type of seizure produces unexpected symptoms, such as a vacant stare, lip smacking and eyelid fluttering.",110,43026,1306,15,7,70,44,67,45,0.0,2019-06-18
6,https://www.mayoclinic.org/diseases-conditions/separated-shoulder/symptoms-causes/syc-20354049,separated shoulder,18,"A separated shoulder is an injury to the ligaments that hold your collarbone to your shoulder blade. Learn about causes, symptoms and treatment options.",152,44073,1051,14,5,71,45,68,46,0.0,2019-04-16
7,https://www.mayoclinic.org/diseases-conditions/acanthosis-nigricans/symptoms-causes/syc-20368983,acanthosis nigricans,20,"Acanthosis nigricans — Comprehensive overview covers causes, treatment of this skin condition.",94,44217,1190,10,4,69,43,67,45,0.0,2018-04-24
9,https://www.mayoclinic.org/diseases-conditions/achilles-tendinitis/symptoms-causes/syc-20369020,achilles tendinitis,19,"Achilles tendinitis — Comprehensive overview covers symptoms, causes, treatment of this overuse injury.",103,45417,1438,9,4,70,43,69,46,1.0,2019-09-17
10,https://www.mayoclinic.org/diseases-conditions/achilles-tendon-rupture/symptoms-causes/syc-20353234,achilles tendon rupture,23,An Achilles tendon rupture is an injury that is usually painful and likely to affect your ability to walk. Surgical repair is sometimes necessary.,146,49203,1578,10,4,72,45,69,46,0.0,2017-08-02
11,https://www.mayoclinic.org/diseases-conditions/gerd/symptoms-causes/syc-20361940,gastroesophageal reflux disease (gerd),38,"GERD, in which stomach acid moves into the esophagus, causes discomfort and may lead to precancerous changes in the lining of the esophagus.",140,52830,1555,16,8,85,52,71,47,1.0,2020-05-22
12,https://www.mayoclinic.org/diseases-conditions/infant-acid-reflux/symptoms-causes/syc-20351408,infant reflux,13,This common and messy condition is usually harmless. Most babies outgrow it by age 18 months.,93,44639,1342,13,6,71,45,67,45,0.0,2020-04-03
13,https://www.mayoclinic.org/diseases-conditions/acl-injury/symptoms-causes/syc-20350738,acl injury,10,"This injury affects one of the main ligaments in your knee. It most commonly occurs during sports like soccer, basketball, football and downhill skiing.",152,51924,1834,16,6,77,50,73,50,0.0,2019-03-30
14,https://www.mayoclinic.org/diseases-conditions/acne/symptoms-causes/syc-20368047,acne,4,"Learn more about this common skin condition, including causes, acne treatments and simple skin care steps you can do at home to help control it.",144,59112,2067,11,6,85,57,71,48,1.0,2020-02-18
15,https://www.mayoclinic.org/diseases-conditions/acoustic-neuroma/symptoms-causes/syc-20356127,acoustic neuroma,16,Acoustic neuroma is a tumor that grows on the balance and hearing nerve in the head that may cause hearing loss.,112,51234,1700,19,12,77,47,69,46,0.0,2018-08-10
16,https://www.mayoclinic.org/diseases-conditions/hiv-aids/symptoms-causes/syc-20373524,hiv/aids,8,"Learn more about this potentially life-threatening infection that spreads through blood, sex and childbirth. Know how to prevent and treat it.",142,61851,2856,14,5,76,47,68,46,1.0,2020-02-13
17,https://www.mayoclinic.org/diseases-conditions/acromegaly/symptoms-causes/syc-20351222,acromegaly,10,"An excess of growth hormone causes the bones to keep growing, which can lead to a number of serious complications if left untreated.",132,51207,1707,16,9,75,48,68,46,0.0,2019-01-18
18,https://www.mayoclinic.org/diseases-conditions/actinic-keratosis/symptoms-causes/syc-20354969,actinic keratosis,17,"Find out more about this skin condition that causes a rough, scaly patch after years of ultraviolet exposure from sunshine or indoor tanning.",141,47445,1546,10,5,72,46,67,45,0.0,2019-01-09
19,https://www.mayoclinic.org/diseases-conditions/acute-coronary-syndrome/symptoms-causes/syc-20352136,acute coronary syndrome,23,"Acute coronary syndrome refers to many conditions that cause sudden, low blood flow to the heart. Know the symptoms, causes and treatment.",138,47370,1314,24,15,77,50,69,46,0.0,2019-04-11
20,https://www.mayoclinic.org/diseases-conditions/sweets-syndrome/symptoms-causes/syc-20351117,sweet's syndrome,16,"Sweet's syndrome — Comprehensive overview covers symptoms, causes, treatment of this painful skin condition.",108,44337,1269,9,4,69,43,67,45,0.0,2018-11-21
21,https://www.mayoclinic.org/diseases-conditions/guillain-barre-syndrome/symptoms-causes/syc-20362793,guillain-barre syndrome,23,"This rare autoimmune disorder affects the nerves, causing weakness and tingling in the arms and legs that rapidly spreads throughout the body.",142,50497,1802,12,5,77,48,67,45,1.0,2020-05-05
22,https://www.mayoclinic.org/diseases-conditions/kidney-failure/symptoms-causes/syc-20369048,acute kidney failure,20,"Learn what happens when the kidneys suddenly stop working, as well as what causes this condition and how it's treated.",118,49678,1739,16,7,75,48,67,45,0.0,2018-06-23
23,https://www.mayoclinic.org/diseases-conditions/acute-liver-failure/symptoms-causes/syc-20352863,acute liver failure,19,"Acute liver failure is a rapid loss of liver function, often in someone without liver problems. It's a medical emergency that requires urgent care.",147,48884,1958,17,9,73,46,68,46,0.0,2017-08-29
24,https://www.mayoclinic.org/diseases-conditions/acute-lymphocytic-leukemia/symptoms-causes/syc-20369077,acute lymphocytic leukemia,26,Learn about this cancer that forms in the blood and bone marrow. Treatments include medications and bone marrow transplant.,123,49761,1403,28,14,81,52,73,49,0.0,2018-08-10
25,https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/symptoms-causes/syc-20369109,acute myelogenous leukemia,26,Learn about this cancer that forms in the bone and bone marrow. Treatments include medications and bone marrow transplant.,122,48713,1430,17,10,78,48,71,47,0.0,2017-12-27
26,https://www.mayoclinic.org/diseases-conditions/radiation-sickness/symptoms-causes/syc-20377058,radiation sickness,18,"Read about what happens when someone is exposed to high doses of radiation, and what you can do to prevent such exposure in an emergency.",137,45852,1595,11,4,69,43,67,45,0.0,2019-05-22
27,https://www.mayoclinic.org/diseases-conditions/ards/symptoms-causes/syc-20355576,ards,4,Acute respiratory distress syndrome (ARDS) is sudden and serious lung failure that can occur in people who are critically ill or have major injuries.,149,47159,1640,19,8,72,48,67,45,0.0,2018-03-10
28,https://www.mayoclinic.org/diseases-conditions/acute-sinusitis/symptoms-causes/syc-20351671,acute sinusitis,15,Learn the latest treatment and prevention strategies for dealing with the stuffy nose and head pain that can come with this upper respiratory condition.,152,48133,1431,13,6,77,49,68,46,0.0,2019-06-22
29,https://www.mayoclinic.org/diseases-conditions/alcohol-use-disorder/symptoms-causes/syc-20369243,alcohol use disorder,20,"Unhealthy alcohol use ranges from mild to severe, including alcoholism and binge drinking, putting health and safety at risk. Early treatment is important.",155,63036,3091,12,3,75,47,75,51,1.0,2018-07-11
30,https://www.mayoclinic.org/diseases-conditions/drug-addiction/symptoms-causes/syc-20365112,drug addiction (substance use disorder),39,"With drug addiction (substance use disorder), you can't control your use of legal or illegal drugs or alcohol and may continue using despite the harm it causes.",160,70000,4308,10,5,74,46,69,46,1.0,2017-10-26
31,https://www.mayoclinic.org/diseases-conditions/compulsive-gambling/symptoms-causes/syc-20355178,compulsive gambling,19,Compulsive gambling is an addictive disorder — the uncontrollable urge to keep gambling despite the toll it takes on your life.,127,44319,1451,11,6,66,43,67,45,0.0,2016-10-22
32,https://www.mayoclinic.org/diseases-conditions/nicotine-dependence/symptoms-causes/syc-20351584,nicotine dependence,19,"Nicotine dependence can be tough to kick, but treatments and resources are available to boost your chances of success.",118,58342,2350,11,5,73,46,76,52,0.0,2020-03-14
33,https://www.mayoclinic.org/diseases-conditions/addisons-disease/symptoms-causes/syc-20350293,addison's disease,17,Learn about this rare but serious disorder of the adrenal glands that's treated by replacing needed hormones.,109,50994,1849,14,7,74,46,67,45,0.0,2019-10-09
34,https://www.mayoclinic.org/diseases-conditions/mesenteric-lymphadenitis/symptoms-causes/syc-20353799,mesenteric lymphadenitis,24,"This painful condition, which involves inflamed lymph nodes in the membrane that connects your bowel to your abdominal wall, usually affects children and teens.",160,43534,1144,10,5,67,42,67,45,0.0,2019-07-19
35,https://www.mayoclinic.org/diseases-conditions/adenomyosis/symptoms-causes/syc-20369138,adenomyosis,11,"Displaced endometrial tissue from adenomyosis can cause an enlarged uterus and painful, heavy periods.",102,43883,1205,12,5,73,46,67,45,0.0,2018-06-08
36,https://www.mayoclinic.org/diseases-conditions/adhd/symptoms-causes/syc-20350889,attention-deficit/hyperactivity disorder (adhd) in children,59,"This condition affects children, and may continue into adulthood. It can include difficulty sustaining attention, hyperactivity and impulsive behavior.",151,56600,2304,10,3,78,48,69,47,0.0,2019-06-25
37,https://www.mayoclinic.org/diseases-conditions/adult-adhd/symptoms-causes/syc-20350878,adult attention-deficit/hyperactivity disorder (adhd),53,"This mental health disorder includes a combination of persistent problems, such as difficulty paying attention, hyperactivity and impulsive behavior.",149,49226,1667,12,3,71,45,67,45,0.0,2019-06-22
